"Plot Title: bas_ml_20251108"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20059998, SEN S/N: 20054028, LBL: t_air)","RH, % (LGR S/N: 20059998, SEN S/N: 20054028, LBL: hr_air)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22155504, LBL: t_1)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194991, LBL: t_2)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194995, LBL: t_3)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22285562, LBL: t_0)"
125,11/09/25 04:45:01  PM,-6.294,83.400,3.274,5.796,6.306,-0.535
126,11/09/25 05:00:01  PM,-6.642,83.700,3.248,5.796,6.306,-0.563
127,11/09/25 05:15:01  PM,-7.026,84.900,3.248,5.770,6.306,-0.620
128,11/09/25 05:30:01  PM,-7.187,85.800,3.221,5.770,6.281,-0.676
129,11/09/25 05:45:01  PM,-7.543,86.200,3.221,5.770,6.281,-0.732
130,11/09/25 06:00:01  PM,-7.738,87.000,3.221,5.745,6.281,-0.760
131,11/09/25 06:15:01  PM,-8.000,87.000,3.221,5.745,6.281,-0.845
132,11/09/25 06:30:01  PM,-8.563,87.200,3.221,5.745,6.281,-0.873
133,11/09/25 06:45:01  PM,-8.497,88.200,3.195,5.745,6.281,-0.930
134,11/09/25 07:00:01  PM,-8.831,88.200,3.195,5.745,6.281,-0.986
135,11/09/25 07:15:01  PM,-9.134,88.600,3.195,5.719,6.281,-1.015
136,11/09/25 07:30:01  PM,-9.303,89.100,3.195,5.719,6.255,-1.100
137,11/09/25 07:45:01  PM,-9.576,89.100,3.168,5.719,6.255,-1.100
138,11/09/25 08:00:01  PM,-9.713,89.600,3.168,5.693,6.255,-1.128
139,11/09/25 08:15:01  PM,-10.058,89.700,3.168,5.693,6.255,-1.185
140,11/09/25 08:30:01  PM,-9.989,89.900,3.142,5.693,6.255,-1.185
141,11/09/25 08:45:01  PM,-10.162,90.100,3.142,5.693,6.255,-1.242
142,11/09/25 09:00:01  PM,-9.989,90.100,3.142,5.693,6.255,-1.242
143,11/09/25 09:15:01  PM,-10.023,90.300,3.142,5.693,6.255,-1.270
144,11/09/25 09:30:01  PM,-10.266,90.300,3.142,5.668,6.255,-1.299
145,11/09/25 09:45:01  PM,-8.965,91.100,3.116,5.668,6.230,-1.270
146,11/09/25 10:00:01  PM,-9.473,90.800,3.116,5.668,6.230,-1.242
147,11/09/25 10:15:01  PM,-9.782,90.900,3.116,5.668,6.230,-1.299
148,11/09/25 10:30:01  PM,-9.610,90.800,3.116,5.642,6.230,-1.299
149,11/09/25 10:45:01  PM,-9.371,91.000,3.116,5.642,6.230,-1.270
150,11/09/25 11:00:01  PM,-8.831,91.200,3.116,5.642,6.230,-1.213
151,11/09/25 11:15:01  PM,-8.297,91.300,3.116,5.642,6.230,-1.157
152,11/09/25 11:30:01  PM,-7.316,91.300,3.116,5.642,6.204,-1.071
153,11/09/25 11:45:01  PM,-7.155,91.100,3.116,5.642,6.230,-1.043
154,11/10/25 12:00:01  AM,-6.962,90.900,3.116,5.642,6.204,-0.958
155,11/10/25 12:15:01  AM,-6.802,91.200,3.089,5.616,6.204,-0.958
156,11/10/25 12:30:01  AM,-6.994,91.300,3.089,5.616,6.204,-0.986
157,11/10/25 12:45:01  AM,-6.706,91.400,3.089,5.616,6.204,-0.958
158,11/10/25 01:00:01  AM,-6.073,91.600,3.089,5.616,6.204,-0.930
159,11/10/25 01:15:01  AM,-5.916,91.200,3.089,5.591,6.204,-0.845
160,11/10/25 01:30:01  AM,-5.418,90.700,3.089,5.591,6.204,-0.817
161,11/10/25 01:45:01  AM,-5.202,90.000,3.063,5.591,6.204,-0.732
162,11/10/25 02:00:01  AM,-5.233,90.200,3.063,5.591,6.204,-0.732
163,11/10/25 02:15:01  AM,-4.834,90.300,3.063,5.591,6.204,-0.704
164,11/10/25 02:30:01  AM,-4.743,90.300,3.063,5.591,6.204,-0.676
165,11/10/25 02:45:01  AM,-4.469,90.500,3.063,5.591,6.204,-0.620
166,11/10/25 03:00:01  AM,-4.318,90.400,3.063,5.591,6.204,-0.591
167,11/10/25 03:15:01  AM,-4.076,90.400,3.063,5.565,6.204,-0.563
168,11/10/25 03:30:01  AM,-3.986,90.200,3.063,5.565,6.179,-0.535
169,11/10/25 03:45:01  AM,-3.777,90.200,3.036,5.565,6.179,-0.535
170,11/10/25 04:00:01  AM,-3.598,90.600,3.036,5.565,6.179,-0.507
171,11/10/25 04:15:01  AM,-3.419,90.700,3.036,5.565,6.179,-0.507
172,11/10/25 04:30:01  AM,-3.390,91.100,3.036,5.565,6.179,-0.479
173,11/10/25 04:45:01  AM,-3.390,91.400,3.009,5.539,6.179,-0.479
174,11/10/25 05:00:01  AM,-3.301,91.800,3.009,5.539,6.179,-0.479
175,11/10/25 05:15:01  AM,-3.301,91.900,3.009,5.539,6.179,-0.479
176,11/10/25 05:30:01  AM,-3.212,91.900,3.009,5.539,6.153,-0.479
177,11/10/25 05:45:01  AM,-3.124,91.700,3.009,5.539,6.153,-0.451
178,11/10/25 06:00:01  AM,-2.947,91.500,2.983,5.514,6.153,-0.451
